ID Number,Assignment_Name,Assignment_Grade
676262,SOCI946Assignment 2,74
319000,SOCI175Assignment 1,96
257820,SOWK992Assignment 2,84
274787,SOCI574Assignment 2,94
820301,SOCI502Assignment 2,77
550094,SOCI138Assignment 1,71
504859,SOCI438Presentation,89
652626,SOCI009Final Assessment,81
911186,SOWK059Assignment 2,73
740815,GOVT819Presentation,93
754990,SOCI056Final Assessment,91
930536,SOCI898Assignment 2,100
804031,GOVT635Assignment 2,69
224062,SOWK332Presentation,63
834141,SOCI319Assignment 1,94
529100,GOVT407Final Assessment,91
860501,SOCI029Assignment 2,86
838561,SOWK859Presentation,72
758679,GOVT188Project 1,70
851135,SOCI002Presentation,93
226589,SOWK907Presentation,80
483218,SOCI463Assignment 1,94
719235,GOVT788Assignment 1,61
611919,SOCI147Project 1,91
310241,SOCI455Assignment 2,87
943101,SOCI586Final Assessment,74
587626,GOVT961Assignment 1,90
531340,GOVT701Project 1,99
175237,SOWK473Project 1,72
530231,SOWK458Project 1,75
124665,GOVT330Assignment 2,90
125664,SOWK317Assignment 2,74
288326,GOVT676Project 1,85
995072,SOWK156Assignment 1,70
136518,SOWK484Presentation,79
775348,SOCI128Final Assessment,61
887751,GOVT835Presentation,71
610849,SOCI982Presentation,62
238551,GOVT579Presentation,93
801214,SOWK282Final Assessment,98
400114,SOCI479Assignment 2,69
731973,SOWK975Assignment 2,61
175236,SOWK237Presentation,71
416308,SOCI274Presentation,94
497748,SOWK991Assignment 2,81
556401,GOVT956Project 1,79
985198,SOWK854Final Assessment,86
802696,GOVT849Assignment 2,96
540903,SOWK076Final Assessment,96
865476,SOWK573Assignment 1,81
623434,SOCI891Presentation,93
965392,SOWK221Assignment 1,92
882415,SOWK274Project 1,69
710807,GOVT854Final Assessment,79
236822,SOCI531Assignment 2,62
518645,SOCI229Final Assessment,68
548616,SOCI180Assignment 1,65
625719,GOVT024Assignment 2,96
923582,SOWK666Presentation,85
898939,SOCI938Presentation,69
604598,SOWK116Presentation,77
948798,SOCI847Assignment 1,74
731589,SOWK563Presentation,89
866053,SOCI515Assignment 2,88
182206,GOVT936Final Assessment,93
790559,SOCI141Final Assessment,64
731603,SOCI378Final Assessment,89
531260,SOCI907Project 1,85
929734,SOCI332Assignment 1,97
702526,GOVT010Final Assessment,62
306302,SOWK703Assignment 1,83
590968,GOVT703Assignment 1,62
148975,SOWK576Assignment 2,84
649048,SOCI733Presentation,78
403156,SOCI088Project 1,78
563884,GOVT576Project 1,78
251042,SOCI442Project 1,70
306471,SOCI800Presentation,89
507870,SOWK691Project 1,94
623644,GOVT010Assignment 2,74
341433,SOWK667Presentation,90
618878,SOCI417Final Assessment,98
369023,GOVT095Final Assessment,91
675772,GOVT762Assignment 1,98
424777,GOVT950Assignment 1,60
337207,GOVT250Final Assessment,83
357141,SOCI455Presentation,76
741714,SOWK833Project 1,92
127817,SOCI611Assignment 2,92
115209,GOVT427Presentation,69
126877,GOVT364Final Assessment,100
885485,GOVT712Final Assessment,62
360216,SOCI941Presentation,73
142929,SOCI675Assignment 1,60
600624,SOCI210Final Assessment,99
825211,SOCI712Assignment 2,65
147564,GOVT143Assignment 1,87
587005,SOWK363Final Assessment,70
341243,SOCI902Assignment 2,96
192694,GOVT769Final Assessment,65
245804,GOVT435Final Assessment,76
907160,SOWK427Presentation,89
884607,SOCI351Assignment 2,100
428705,SOCI181Presentation,88
470072,SOCI932Final Assessment,76
219357,SOCI568Project 1,84
647811,SOCI902Presentation,86
662116,GOVT884Presentation,67
593865,SOCI606Presentation,63
769440,SOWK380Assignment 1,93
495113,SOWK005Project 1,93
791750,SOWK989Assignment 1,96
413527,GOVT148Project 1,88
964434,SOWK465Assignment 1,66
418229,GOVT919Final Assessment,62
320696,GOVT986Final Assessment,98
766141,GOVT446Project 1,62
612067,GOVT101Presentation,86
433464,SOWK284Assignment 1,64
779298,GOVT015Final Assessment,95
578959,SOCI914Project 1,83
115413,GOVT670Assignment 1,61
768153,SOWK130Presentation,65
492775,SOCI449Final Assessment,94
470218,SOCI483Final Assessment,68
236260,SOCI448Presentation,92
179123,SOWK768Project 1,93
847026,GOVT591Assignment 1,81
412714,SOWK864Assignment 2,63
304462,SOCI038Assignment 1,86
460231,SOWK831Final Assessment,96
827083,SOCI174Assignment 2,72
245038,GOVT702Project 1,94
514935,SOWK899Assignment 1,69
310006,SOCI576Assignment 1,74
351361,SOCI770Final Assessment,72
294143,SOCI495Project 1,89
152591,SOWK038Presentation,96
621256,GOVT668Assignment 2,97
815406,SOWK775Presentation,83
326994,SOWK052Project 1,97
550544,GOVT895Project 1,63
537267,SOCI451Presentation,87
969749,GOVT654Presentation,85
410916,SOWK707Project 1,81
478681,SOCI102Project 1,64
340133,SOCI971Assignment 2,60
122034,SOWK014Assignment 1,78
766349,GOVT152Presentation,74
543584,SOWK243Presentation,74
735504,GOVT400Assignment 1,62
639732,SOCI777Assignment 2,90
899758,GOVT531Project 1,71
650336,SOCI789Assignment 1,85
901292,GOVT298Assignment 2,91
619277,SOWK528Assignment 1,74
957204,GOVT284Presentation,73
149539,SOWK346Assignment 2,83
207402,GOVT266Final Assessment,62
658380,SOWK416Project 1,73
194500,GOVT756Project 1,83
760850,GOVT043Assignment 2,64
173358,GOVT337Presentation,84
671062,GOVT384Assignment 1,93
827703,SOWK888Assignment 2,73
640437,SOWK312Presentation,65
924342,SOCI916Project 1,68
413264,SOCI871Final Assessment,74
530461,GOVT310Assignment 2,72
917407,SOWK997Presentation,60
182067,SOCI330Assignment 1,97
168383,SOWK499Final Assessment,63
658894,SOCI678Project 1,62
282656,SOWK756Assignment 2,75
531442,SOWK156Assignment 2,95
209829,GOVT373Final Assessment,77
763717,SOCI759Presentation,69
106586,SOWK696Assignment 2,77
382640,SOWK303Assignment 2,76
989815,SOWK730Assignment 2,90
828825,SOCI173Presentation,76
948539,SOWK708Final Assessment,87
486537,GOVT749Assignment 2,88
801087,SOWK699Final Assessment,98
925045,SOWK928Presentation,70
108569,SOWK270Final Assessment,91
597693,SOCI212Project 1,86
270332,GOVT894Final Assessment,83
565758,SOCI957Assignment 2,92
803633,SOWK364Assignment 1,86
703136,SOCI261Assignment 1,88
880704,GOVT031Assignment 1,70
166302,SOCI018Final Assessment,95
673335,GOVT548Presentation,70
955754,SOCI417Assignment 1,81
422076,SOCI039Assignment 2,72
967007,SOWK302Final Assessment,62
827947,SOCI632Final Assessment,84
640900,SOCI999Project 1,100
254262,GOVT581Project 1,66
675989,SOCI666Project 1,68
657588,SOCI279Assignment 1,86
700173,SOCI966Presentation,71
780094,SOCI926Presentation,67
290157,SOWK779Presentation,82
706598,SOCI540Assignment 1,82
536061,SOCI109Assignment 2,93
165802,SOWK304Final Assessment,73
135142,GOVT411Project 1,73
450139,SOWK860Final Assessment,76
455498,GOVT336Presentation,88
981309,SOWK947Assignment 1,80
659362,GOVT988Assignment 2,66
683804,GOVT749Presentation,95
184171,SOCI736Assignment 2,98
540397,SOWK518Project 1,68
855064,SOWK948Final Assessment,95
728316,SOCI973Assignment 1,74
492154,SOWK659Assignment 1,70
399045,GOVT799Project 1,74
748649,SOCI568Project 1,77
806504,SOWK134Final Assessment,62
914672,SOCI884Assignment 2,93
856567,SOCI291Project 1,80
383683,SOCI903Assignment 2,89
570469,GOVT539Presentation,86
909408,GOVT977Presentation,96
681495,SOWK307Assignment 1,96
167415,SOCI399Final Assessment,74
384211,SOWK819Final Assessment,90
370445,GOVT321Final Assessment,90
756591,SOWK598Final Assessment,92
554932,GOVT962Assignment 1,96
729457,GOVT727Assignment 2,61
241984,GOVT600Assignment 2,100
729230,GOVT498Presentation,62
835948,GOVT488Assignment 1,95
257634,GOVT754Assignment 2,98
500270,SOCI753Presentation,75
802593,SOWK271Assignment 1,78
401693,GOVT462Project 1,73
863748,GOVT011Final Assessment,63
196174,SOCI445Assignment 2,92
521913,SOCI496Presentation,90
738338,SOCI349Final Assessment,74
795263,GOVT481Assignment 1,81
272441,SOWK888Presentation,82
728848,SOCI927Final Assessment,87
897424,SOCI302Presentation,95
541734,GOVT749Project 1,67
189682,GOVT339Project 1,86
839744,GOVT450Final Assessment,68
845465,SOWK531Assignment 2,60
931768,SOCI299Assignment 2,66
560589,SOCI606Final Assessment,74
725284,SOWK721Final Assessment,81
143029,GOVT642Project 1,65
433551,SOWK574Assignment 2,96
262653,SOCI413Assignment 2,74
108406,SOCI237Assignment 1,90
603382,GOVT545Project 1,62
733099,SOCI202Assignment 1,89
806906,GOVT244Final Assessment,71
147247,GOVT688Assignment 2,60
323914,SOCI457Project 1,72
814638,GOVT505Presentation,94
715022,SOWK176Presentation,75
734268,SOCI797Final Assessment,63
806209,GOVT030Presentation,70
485333,GOVT054Assignment 2,73
225277,SOWK926Assignment 2,76
615802,GOVT084Assignment 2,90
553011,SOWK904Assignment 1,60
109082,SOWK018Assignment 1,89
119610,SOWK223Project 1,98
251888,SOCI595Project 1,93
870138,GOVT332Final Assessment,77
781042,SOWK100Assignment 2,68
769314,SOCI567Final Assessment,76
988504,SOCI397Project 1,89
555519,GOVT537Assignment 1,92
191380,SOWK108Final Assessment,83
136787,SOWK204Final Assessment,96
900787,SOWK690Assignment 1,100
909085,SOWK926Assignment 2,93
246589,SOWK087Final Assessment,85
950768,SOCI515Assignment 2,75
632025,SOCI350Final Assessment,70
590782,SOCI027Final Assessment,68
775043,GOVT109Final Assessment,67
648115,GOVT960Project 1,79
270208,SOWK471Assignment 1,100
205004,SOWK917Assignment 2,82
323587,SOWK900Assignment 1,77
978426,SOCI228Project 1,75
376524,SOWK416Final Assessment,61
648173,GOVT475Presentation,98
227128,GOVT074Assignment 2,92
524216,SOWK965Project 1,67
495918,SOCI165Project 1,73
896627,SOCI772Assignment 2,95
463087,SOCI048Project 1,83
357855,SOCI665Assignment 1,72
902570,SOCI075Assignment 1,68
892247,SOWK816Assignment 2,80
992280,SOCI344Final Assessment,91
171546,SOCI333Assignment 1,94
991888,SOWK258Assignment 2,81
675041,SOWK857Assignment 2,93
705257,SOWK236Assignment 2,75
452246,SOWK908Assignment 1,90
698128,GOVT334Final Assessment,70
712903,GOVT994Presentation,64
492948,GOVT178Final Assessment,95
427814,SOWK297Project 1,75
244131,GOVT027Assignment 1,69
652714,SOCI662Final Assessment,77
603925,SOCI756Final Assessment,63
302603,SOWK449Assignment 2,66
650434,SOCI334Project 1,82
929707,GOVT418Project 1,70
982000,GOVT504Presentation,99
590426,SOWK716Project 1,92
293487,GOVT789Presentation,89
690903,SOWK185Assignment 1,74
537250,GOVT396Assignment 1,99
595617,SOCI983Presentation,98
661421,GOVT186Project 1,65
462298,GOVT081Assignment 1,89
570872,SOCI214Assignment 1,84
295515,GOVT993Assignment 1,74
899559,SOWK903Assignment 1,75
970881,SOCI481Project 1,80
975681,GOVT646Presentation,83
893134,SOCI615Project 1,88
672234,SOWK773Final Assessment,97
811735,SOWK926Final Assessment,81
938147,SOWK852Presentation,78
390758,SOCI032Presentation,82
796885,SOCI744Assignment 2,64
302433,SOCI692Final Assessment,95
311813,GOVT621Presentation,100
146565,SOCI270Assignment 2,100
459816,SOWK310Final Assessment,63
216192,SOWK487Final Assessment,84
852956,SOWK983Final Assessment,75
965668,SOWK117Assignment 1,66
950374,GOVT484Final Assessment,78
490568,SOCI342Final Assessment,63
390946,GOVT399Assignment 2,86
759598,SOCI762Project 1,68
676827,GOVT455Project 1,88
591360,GOVT897Presentation,78
711198,SOWK574Assignment 2,91
929363,SOWK880Assignment 2,79
473170,GOVT333Final Assessment,93
318067,SOCI953Final Assessment,84
825469,GOVT731Assignment 1,78
270163,SOWK624Assignment 2,67
700971,GOVT382Presentation,89
455122,SOWK466Assignment 1,73
867703,GOVT960Assignment 1,96
354743,SOWK398Presentation,96
654284,SOWK785Final Assessment,100
933554,GOVT650Assignment 2,95
555201,SOCI529Presentation,65
616224,SOCI039Assignment 2,72
869347,GOVT483Presentation,66
934016,GOVT192Assignment 2,67
941005,GOVT973Project 1,96
996156,SOCI134Final Assessment,66
886206,SOWK512Presentation,77
568601,GOVT656Presentation,83
356502,GOVT974Final Assessment,95
917410,SOCI876Assignment 2,84
424764,SOCI289Assignment 1,60
750873,SOWK420Final Assessment,65
856892,GOVT406Final Assessment,77
980183,SOWK216Assignment 2,91
880757,GOVT998Assignment 1,73
111053,SOWK333Assignment 1,70
307223,SOCI047Presentation,76
423038,SOWK306Final Assessment,94
348915,SOCI704Final Assessment,87
180488,SOWK030Presentation,68
769733,SOCI482Presentation,93
504167,GOVT386Project 1,72
588860,GOVT678Project 1,60
797805,GOVT852Final Assessment,76
853988,GOVT025Final Assessment,73
189798,SOWK847Project 1,63
522995,SOWK640Assignment 2,80
302970,SOCI467Project 1,88
338824,GOVT956Final Assessment,90
398721,SOWK923Presentation,94
653745,GOVT351Assignment 1,74
778301,SOWK333Presentation,76
694525,GOVT731Assignment 1,61
173262,SOCI352Project 1,85
161923,SOWK658Assignment 2,83
574916,GOVT150Assignment 1,90
440617,SOCI592Final Assessment,96
157119,SOWK588Assignment 2,77
473621,SOCI762Project 1,64
480677,GOVT076Presentation,79
413106,GOVT129Presentation,68
394417,GOVT812Final Assessment,67
318971,SOCI627Assignment 1,72
994750,SOWK168Final Assessment,88
568080,SOCI748Project 1,64
913690,SOWK460Project 1,68
451983,SOWK191Project 1,97
279091,SOWK414Final Assessment,72
674298,SOCI616Project 1,95
430352,SOWK196Assignment 2,62
823788,GOVT178Final Assessment,78
540417,SOWK942Final Assessment,90
315867,SOWK813Assignment 1,67
736249,SOCI302Project 1,69
397935,GOVT034Project 1,80
785752,SOCI032Final Assessment,98
589826,SOCI480Assignment 2,74
242443,SOWK060Final Assessment,92
986474,SOWK339Project 1,94
614276,SOCI512Project 1,76
163174,SOWK676Assignment 1,69
524525,GOVT405Assignment 2,78
615719,GOVT187Project 1,70
169008,SOWK790Presentation,81
656227,GOVT463Project 1,79
493530,SOWK203Assignment 2,72
966097,SOWK028Assignment 1,94
103770,SOWK716Presentation,95
684701,GOVT854Final Assessment,80
648397,SOCI162Presentation,64
441643,SOCI279Assignment 2,84
757011,GOVT971Project 1,64
336069,SOWK591Final Assessment,93
151126,GOVT697Assignment 1,92
743423,SOCI541Presentation,82
223645,GOVT300Project 1,80
132214,SOCI488Final Assessment,87
538575,SOWK500Assignment 2,100
544869,SOWK610Assignment 1,99
416310,GOVT479Presentation,60
917332,SOCI283Assignment 1,77
873424,GOVT829Project 1,63
681623,SOCI255Assignment 1,69
277621,GOVT557Final Assessment,77
270667,GOVT304Project 1,60
485639,GOVT079Presentation,97
786841,GOVT597Assignment 1,90
254629,SOCI695Final Assessment,72
399015,GOVT629Final Assessment,61
506772,SOWK161Project 1,69
477949,SOCI943Presentation,92
240244,SOWK828Presentation,98
377795,SOCI032Presentation,81
840244,GOVT071Assignment 2,95
414108,SOCI033Final Assessment,89
485233,GOVT844Assignment 1,93
836396,SOWK413Presentation,68
818834,SOWK966Presentation,81
201952,GOVT195Project 1,76
881560,SOWK772Assignment 2,79
353131,SOWK861Assignment 1,93
423463,SOCI260Assignment 2,90
799227,GOVT024Final Assessment,63
544026,GOVT942Final Assessment,63
829691,SOCI083Final Assessment,71
650115,GOVT712Final Assessment,69
245871,SOWK130Assignment 1,83
338445,SOWK403Final Assessment,82
453548,SOWK134Assignment 2,100
272878,SOWK112Assignment 1,81
109258,GOVT269Presentation,88
487921,GOVT705Assignment 1,75
979898,SOWK772Assignment 1,87
342980,GOVT550Final Assessment,98
994753,GOVT715Assignment 2,85
680950,SOWK614Assignment 2,73
110407,SOWK187Project 1,68
526798,SOWK160Final Assessment,66
910126,SOCI046Project 1,97
100224,SOCI844Assignment 1,69
965176,SOWK253Project 1,92
734004,SOWK635Assignment 2,60
149988,SOCI886Project 1,95
830202,SOWK464Project 1,91
525078,SOWK220Assignment 2,100
785522,SOCI516Project 1,65
191380,SOWK141Assignment 2,91
563456,GOVT932Assignment 1,61
501946,GOVT480Final Assessment,62
337196,SOCI784Presentation,89
697454,SOCI533Presentation,85
560109,GOVT005Assignment 1,83
775653,SOCI772Presentation,97
592664,GOVT167Assignment 2,97
696040,SOCI989Assignment 2,96
408310,SOCI656Assignment 1,75
892892,SOWK809Assignment 1,67
655776,GOVT819Final Assessment,61
569114,GOVT991Final Assessment,78
967965,GOVT963Assignment 1,86
751974,GOVT451Presentation,62
409087,GOVT101Assignment 2,86
934623,SOWK135Assignment 2,61
811768,SOWK740Presentation,73
356654,GOVT646Project 1,82
351590,SOWK552Final Assessment,93
141321,SOCI411Assignment 1,77
888345,SOCI329Presentation,80
513391,SOCI971Project 1,83
452855,SOCI712Final Assessment,84
397213,SOCI824Presentation,68
566079,GOVT458Assignment 2,65
241539,SOWK152Project 1,89
290257,SOWK336Presentation,68
328117,GOVT950Final Assessment,98
985506,SOWK694Assignment 1,72
632636,SOCI664Project 1,63
616872,SOWK985Presentation,89
335279,SOWK114Final Assessment,75
884891,SOWK293Assignment 2,88
926189,SOWK354Assignment 2,63
631229,SOWK365Assignment 1,78
877793,GOVT977Assignment 2,93
123812,GOVT524Assignment 2,66
